надотряд\b	отряд\b	подотряд\b	гипотряд\b	инфраотряд\b	парвотряд\b	надсем\b\.	сем\b\.	подсем\b\.	род	period	debug
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon gheerbranti	[66.0, 56.0]	debug930
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon ivani	[66.0, 56.0]	debug938
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon tagourtensis	[56.0, 33.9]	debug943
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon sp.	[66.0, 56.0]	debug946
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug949
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus Gheerbrant	[66.0, 56.0]	debug952
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus cernaysi	[66.0, 56.0]	debug955
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus cf.	[66.0, 56.0]	debug960
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus folieae	[66.0, 56.0]	debug965
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus marandati	[66.0, 56.0]	debug970
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Bustylus sp.	[56.0, 33.9]	debug978
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug981
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Deccanolestes Prasad	[]	debug984
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Deccanolestes hislopi	[145.0, 66.0]	debug989
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Deccanolestes cf.	[145.0, 66.0]	debug999
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Deccanolestes narmadensis	[145.0, 66.0]	debug1004
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Deccanolestes robustus	[145.0, 66.0]	debug1009
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug1012
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Garatherium Crochet,	[]	debug1015
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Garatherium mahboubii	[56.0, 33.9]	debug1018
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		?Garatherium todrae	[66.0, 56.0]	debug1025
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		?Garatherium sp.	[66.0, 56.0]	debug1028
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug1033
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Proremiculus lagnauxi	[66.0, 56.0]	debug1036
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug1041
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Remiculus Russell,	[]	debug1044
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Remiculus deutschi	[66.0, 56.0]	debug1049
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Remiculus cf.	[56.0, 33.9]	debug1054
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Remiculus? sp.	[66.0, 56.0]	debug1059
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Remiculus delsatei	[56.0, 33.9]	debug1062
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug1065
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Sahnitherium rangapurensis	[145.0, 66.0]	debug1068
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug1075
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Adapisoriculidae Gen.	[66.0, 56.0]	debug1078
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Asioplesiadapinae	Asioplesiadapis youngi	[56.0, 33.9]	debug1091
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides Stehlin,	[66.0, 56.0]	debug1100
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides campanicus	[66.0, 56.0]	debug1108
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides caesor	[66.0, 56.0]	debug1113
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides major	[66.0, 56.0]	debug1116
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides minor	[66.0, 56.0]	debug1119
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Chiromyoides potior	[66.0, 56.0]	debug1122
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	*	[]	debug1125
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Jattadectes mamikheli	[56.0, 33.9]	debug1128
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	*	[]	debug1131
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Nannodectes Gingerich,	[66.0, 56.0]	debug1134
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Nannodectes gazini	[66.0, 56.0]	debug1137
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Nannodectes gidleyi	[66.0, 56.0]	debug1143
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Nannodectes intermedius	[66.0, 56.0]	debug1154
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Nannodectes simpsoni	[66.0, 56.0]	debug1163
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	*	[]	debug1171
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Pandemonium dis	[66.0, 56.0]	debug1174
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Pandemonium hibernalis	[66.0, 56.0]	debug1185
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	*	[]	debug1193
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Platychoerops Charlesworth,	[56.0, 33.9]	debug1196
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Plesiadapidae	Plesiadapinae	Platychoerops antiquus	[66.0, 56.0]	debug1202
