"надотряд\b"	"отряд\b"	"подотряд\b"	"гипотряд\b"	"инфраотряд\b"	"парвотряд\b"	"надсем\b\."	"сем\b\."	"подсем\b\."	"род"	"period_start"	"period_end"	"debug"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius janisae"	"66.0"	"56.0"	"debug832"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius pinecreeensis"	"66.0"	"56.0"	"debug835"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius titusi"	"66.0"	"56.0"	"debug838"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius unio"	"66.0"	"56.0"	"debug843"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"?Purgatorius ceratops"	"145.0"	"66.0"	"debug850"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"*"	""	""	"debug858"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Ursolestes perpetior"	"66.0"	"56.0"	"debug861"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Adapisoriculus Lemoine,"	""	""	"debug893"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Adapisoriculus minimus"	"66.0"	"56.0"	"debug896"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"?Adapisoriculus sp."	"66.0"	"56.0"	"debug903"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"?Adapisoriculus sp."	"66.0"	"56.0"	"debug906"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"*"	""	""	"debug909"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon Gheerbrant,"	""	""	"debug912"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon chleuhi"	"66.0"	"56.0"	"debug915"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon cf."	"66.0"	"56.0"	"debug920"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon germanicus"	"66.0"	"56.0"	"debug925"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon gheerbranti"	"66.0"	"56.0"	"debug930"
"ARCHONTA"	"PLESIADAPIFORMES"	"TUPAIOIDEA"	""	""	""	"Plesiadapoidea"	"Adapisoriculidae"	""	"Afrodon ivani"	"66.0"	"56.0"	"debug938"
